,Similar sentences,Labels
0,"""Of course, since Caitlin started wearing high heels full-time, her condition has deteriorated,"" the friend said
""Katie's going to pay now.""
""Suffering from joint pain, she is facing knee replacement surgery - mainly because the transsexual celebrity still refuses to give up her beloved high heels, RadarOnline.com The website can be disclosed exclusively! ""
""Her doctor begged her to give up collecting stilettos, but she refused! ""Knocked over a friend.""
""Although doctors have warned that high heels are the main cause of knee pain, the 68 year old plastic princess is willing to try anything other than giving up the broken knee shoes.""
""Click to see more about the pain story!""
""The source told radar that the retired athlete's chronic knee pain can be traced back to the day when she won the gold medal at the 1976 Olympic Games.""
Jenner injured his knee while training to become a world champion, high jumper, long jumper and pole vaulter, an insider said
""Her knee is stiff and painful,"" the source said
""And for Jenner, who likes high heels, that's not a choice at all!""
",
1,"""Register here to send insider's favorite stories directly to your in box.""
""Whether j-rod is official or not, there is no doubt that Lopez will be a great stepmother.""
""They're dancing with Lopez's new single"" Di Nero. ""
""JLO and A-Rod both have two ex-wife's children. It looks like they get along well as a big family.""
""There are millions of reasons to admire Jennifer Lopez: her killer body, her business acumen, her impeccable style - and a lot more.""
""Now, thanks to a recent video on her current boyfriend Alex Rodriguez's instagram account, you can add the fact that she gets along well with her children.""
JLO and Natasha, A-Rod's 13-year-old daughter, danced together on her new single ""dinero,"" the video shows
""It looks like they had a good time.""
""Natasha determined the choreography, which may mean she learned it from JLO herself.""
“… A post shared by dinero Tashi JLO Alex Rodriguez arod at 11:34 p.m. on June 22, 2018. A video shot on a boat in Idaho at 11:34 p.m. on June 22, 2018 can be seen from Rodriguez's next two posts... ""
",
2,"""The ceremony will be available in many countries around the world.""
""The wedding is scheduled to take place at noon on May 19 local time at St. George's Church in Windsor Castle.""
""We'll soon know who will show up to celebrate the love between Harry and Megan.""
""There's no official word yet on whether Prince Louis, the latest member of the family, will join us, but we can't wait to know!""
Prince William and Kate Middleton's two children, four year old Prince George and three-year-old Princess Charlotte, are reported to be part of the wedding of Harry and Megan
""In fact, she can practice the role with some very special children on her big day.""
“…… Since Megan is always great with the kids, we think she'll be a great mother... ""
""Megan wanted to be pregnant on her honeymoon and told Harry she wanted at least four children. After a royal wedding, Prince Harry and Megan's children have grown up. It's wonderful... ""
""Megan and Harry want to have a big family. They're going to try it right away!""
“… In the spotlight for a while... ""
",
3,"""You can find more information about this and similar content at: piano.io...""
“…… I'm for this, we're for it, ""Kelly replied with a few faces
""Of course Justin Bieber and Haley Baldwin are engaged, but Kelly Jenner is back.""
According to a photo released by the beauty tycoon on its Instagram last Sunday, it helped the reality star star to launch the beauty charm Kylie cosmetics signature pouches with the coveted Kylie lipstick.
""This content was imported from instagram.""
You can find the same content in other formats on their website, or you can find more information
""He looks like old Kelly here, why?"" one fan commented under a photo of Jenna and her best friend Anastasia karanikolaou Kelly replied, ""I took out all the filler words,"" adding two shock emoticons and a smiley emoticon
Another fan praised Jenner for adopting a completely natural look and wrote, ""yes, Kelly!""
“… Your lips look more natural and beautiful. ""
""Instagram / Kylie Jenner confirmed that her pouted lips (which inspired Kylie Jenner challenge, fans will fill their lips with small cups) were the result of lip injections in 2015's follow Kardashian episode.""
",
4,"""Like Kutcher, they explained that it's more about children's autonomy than safety.""
""Outside the celebrity circle, many parents choose to let their children subscribe to Facebook for free.""
""DAX Shepard and Kristen bell are also known for keeping their children out of social media.""
""All the babies are lovely."" Kutcher and Kunis are not the only ones who have decided to protect their children from the public
""Can you guess which one is ours, or does it really matter?""
""May your life be full of wonder, love, laughter, health, happiness, curiosity and privacy,"" he wrote in the post
""Mira and I want to welcome Wyatt Isabel Kutcher to this world.""
""Shortly after Wyatt was born in 2014, he shared several photos of different babies and declined to say which one was his daughter.""
""It's their private life, not mine."" At first he almost gave it away
""I think they should have the right to choose. In fact, I don't think they should have their image as children. Some people may use these images to blackmail them.""
",
5,"""Mirror celebrity has contacted Annie's representative for an official communication network.""
""If the rumors are true, we can imagine that all she's worried about is sleeping as much as possible.""
“…… She said
""Video loading video not available Click to play Click to play video will play automatically soon 8 cancel now (picture: splash)"" I was thinking about this (paparazzi), because I really want to have a child, my husband and I thought, ""where are we going to live?"" ""
""Anne also admits that she and Adam have been trying to decide where to live once they have children, because she wants to keep their offspring out of the spotlight.""
""I can't wait to see them.""
""I think about it all the time, even though it's a stupid thing, because what kind of mother I'm going to be depends on what kind of children I have.""
""I want to be a mother and I look forward to loving my children very much.""
She said, ""my God.""
(source image: splash) (source image: Rex) Annie and Adam got married in 2012, and she had previously said she wanted to get married. ""
",
6,"""An early dinner allows the body to digest food before going to bed, balance blood sugar and remove excess insulin, so you can benefit from a sleep that burns fat and contracts your belt,"" Leveque said! ""We understand why Ghana and Rosen swear to these women.""
""For a more 360 degree approach, she would like to include a nutritionist, and because of their several common clients (Ghana and Rosen in one) and complementary beliefs and philosophies, Leveque is the ideal fit.""
""Let two top health masters customize fitness and nutrition programs for the world.""
""Simone personal trainer Simone de La Rue and nutritionist Kelly Leveque's"" body dream team ""have a list of clients, including Jennifer Garner, Emmy Rossum, Jessica Alba and Molly Sims, who have just released an app that allows users to access their expertise every month...""
“… Fees... ""
""But it's not just a content filled app - more than 900 minutes of video and hundreds of recipes - that allows users to navigate and inspire on their devices.""
""The platform costs $19.99 a month, and actually uses AI software to create customized exercise and nutrition plans for everyone, taking into account their specific goals.""
""It tracks progress through measurements and weekly photos, and alerts users to fix problems through push notifications.""
""It's a customized program that provides me with personal exercise, which has never been seen in fitness apps, but although the app's approach seems to be only for the general population, De La Rue said she and Leveque s...""
“…… Celebrity customers are very excited, especially when they are often on set or traveling... ""
",
7,"""If you have celebrity stories, videos or pictures, please email us with Metro entertainment team at: celebtips@metro.co.uk , please call 020 3615 2145 or visit our submission page - we are glad to hear from you. ""
""Selena and I both went through a great depression."" We've contacted the families of Serena and Camilla. Repeat more: is there a story about Serena Gomez ""suffering from depression"" after her life-saving kidney transplant
""It's going to be hard."" And it's hard
""She said: '(someone told me),"" it's going to be hard, the recipient will shine, she'll recover much faster than the donor, because she gets what she needs and you lose what you don't need to lose. ""
""Selena Gomez, who had a kidney transplant (photo source: backgrid), admitted in a chat with her self magazine Francia Raisa that they were struggling for their mental health throughout the process.""
""This process has cost the 25-year-old a lot. In the process, he"" experienced depression. ""
""But most of all, Serena is happy for Camilla, she knows what it means to her, it's so huge."" Serena had a difficult few months after she revealed that she had received a kidney transplant because of her fight against lupus
""Taylor is her best friend and she can't help but hope to travel with her.""
""But there's a part of her that's enviable.""
""Serena is happy for Camilla and Taylor, she loves them both and knows they will have the best time together,"" according to reports, a person familiar with the matter told Hollywood life
",
8,"""[Andrew h. Walker / Getty pictures]
""The actor was injured recently while filming the latest film in the impossible mission series, but he looks much better, completely unaffected by Katie Holmes and Jamie fox.""
“… When he heard Tom's smile, he gave a warm thumbs up
""Tom Cruise has been photographed for the first time since his ex-wife Katie Holmes confirmed her relationship with Jamie fox. On September 6, 2017, the sun showed that cruise recently landed in London, waiting for the Hollywood fans to be welcomed by one ear...""
As for Tom being ""angry,"" it seems a bit far fetched, because the actor was secretly photographed to look as happy as possible, even after the news came out that Katie and Jamie, in fact, were a project
“… If stars want to find love again, they must be recognized by their faith. ""
""Katie Holmes and new couple Jamie fox finally made it public. I'm questioning why she agreed to marry Tom the sun. On September 10, 2017, cruise's relationship with the Church of Scientology led to the failure of his two marriages. It's no secret that if...""
According to sources, Tom is upset about the relationship. ""Katie is very happy with other people,"" he said, adding, ""Tom wants to find his true love, someone he can spend the rest of his life with.""
The action star is reported to be ""angry"" and ""jealous"" of the relationship between Holmes and fox, and betrayed by all this, as the International Business Times put it
""Since Jamie and Katie were photographed walking hand in hand in Malibu, there have been claims of Cruise's reaction to his ex and ex partner's confession of their relationship.""
",
9,"""Please let us know in the comments section.""
""Source: BACKGROUND: what do you think of Taylor's team gone?""
""It seems Taylor has to find some new first-rate friends!""
""The article continues with the following advertising source: backgrid, but at least Karlie still supports Taylor, even though others remain silent on Taylor's birthday.""
""Source: backgridguess staying away from social media doesn't always pay off!""
""She has made it clear that anyone who listens to or supports Taylor will be immediately banned from her circle, and people like Gigi, Bella and Kara do what they say,"" a source said
Since Taylor has been hiding Kendall's very queen bee these days, she's talking about groups for most people
""Source: Although backgrid Taylor has lost her friends, it is reported that one of her latest singles,"" see what you asked me to do, ""has not helped at all, because she yelled Kanye West, Katy Perry and others, which is said to have made her ex friend Kendall Jenner furious.""
""T-swift is 28 years old now.""
""The article continues in the following ad, but Kelly cross comes to the rescue with a lovely selfie to wish the singer a happy birthday.""
",
