,Similar sentences,Labels
0,"""We suspect that there are different views on the relationship between Kate Middleton and Megan markel.""
""Let's take a closer look at the ties between royal women and find out how the two Duchess really feel about each other.""
""After all, living in the spotlight and keeping up with the royal tradition, building friendships is not common.""
""But how close are they?""
“… The grand events of the royal family develop their respective families together... ""
""However, Middleton and mark began to get to know each other on the day of mark and Harry's engagement. There is no doubt that they just continued to get to know each other when they joined...""
“… For the memory of Prince William... ""
""The truth of the relationship between Kate Middleton and Megan markel Kate Middleton and Megan markel married Prince Harry on May 19, 2018, which has a strong impact on Middleton's wedding in 2011...""
",
1,"""However, Jenna then ended things in early March 2018.""
""He was disgusted,"" the source admitted
""What's more, Bieber doesn't like Searle's ex-wife to mention her near death experience.""
Justin Bieber, 24, doesn't like ""call me your name"" - the new song of ""weekend"" seems to suggest that he almost donated his kidney to Serena Gomez, 25, who needs it most
A source close to Justin told reporters: ""Justin thinks the new song of the weekend is very stingy and weak, which makes him look very bitter."" He also said that Justin is the one who really loves Serena. ""
""Whether they are together or not, in the past, now or in the future, Justin will always be there, and Serena and he will be happy to hand over one of his kidneys to save her life,"" the source added
""In addition, Justin feels it's an honor to help Serena with such a big task,"" the person said
""So when Justin heard about this week's new song, he thought it was disgusting that Abel, 28, had the courage to make a mess of Selena's painful experience.""
""He wasn't with Serena, but now we hear that JB will keep her coming back, and this time, not at the weekend.""
""After breaking up, she got back together with Bieber.""
",
2,"""Please let us know what you think in the comments section below.""
""Hollywood, do you think Megan and her half sister will reconcile in 2018?""
""When you want to know if Samantha and Thomas will be invited to the wedding, please click here to see photos of celebrities, including Megan and Harry, who have the cutest date of 2017.""
""In addition to planning to write a book about Megan, Samantha recently attacked Harry's comments on her family.""
""We reported earlier that Megan's 73 year old father, Thomas Markle Sr., was clearly"" deeply hurt ""by Prince Harry's remarks that the royal family would become a family Megan had never had before
""She's very clear about her past, and there's no secret in her closet, so unless Samantha's going to make something up, her books will be boring to read."" Well, it seems that the feud between Megan and her family goes both ways
""There's no secret about Megan,"" our source added
“… Hide
""Samantha has been telling people that her forthcoming memoir will contain explosive information about Megan, which will shock the core of the royal family. This is complete nonsense. Our palace insiders went on to say that Samantha has no secret about Megan, because Megan absolutely has nothing to do with...""
""Megan is really sad that her half sister is trying to make money out of her relationship with Harry, but she realizes it's inevitable.""
",
3,"""But it affected my situation, because I had a girl, like,"" Yo, who's this? "" .””
""Even if I date someone, no one will know,"" he said
""I'm not the kind of person who wants to be defined by the person I date.""
When asked about Katie on food country, he said she was an ""old friend""
""Last year, Jamie himself denied these persistent rumors and said they had started to cause trouble for him and his real girlfriend.""
""And she absolutely doesn't want to raise another child on her own, because since she left Tom (Cruise), she has been forced to raise it with Suri."" Exposurephotos.COM A spokesman for Katie refuted the reports, telling the mirror celebrity that the report was ""absolutely untrue.""
""It's understandable that Katie will start to feel insecure about the relationship,"" the source continued
""It's said to upset Katie's 37 year old mother, so she decided to cancel it all.""
The latest cover says, ""Jamie's confession changed everything."" Sources said Jamie wanted to postpone the wedding ""until they settle down and have a new child.""
“… Magazine. ""
",
4,"""Let us know!""
""He now plans to thoroughly check his safety, not just at his Lake Como home.""
""Few celebrities are as private as George, 56, and Amar Clooney, 39.""
""So when a photographer recently came to their property in Lake Como, Italy, to take pictures of their twins Ella and Alexander, it surprised the movie star!""
""George is not only considering making charges against voici, the French magazine that obtained the photos, but our insiders say that the incident scared him and he is considering strengthening the security of his family!""
""Does that mean the world-famous couple are going to turn their home into Fort Knox?""
""Come here and see a picture of the perfect couple!""
""This kind of invasion of privacy has caused a huge chain reaction for George,"" a source told reporters Exclusive to Hollywood life
""He has five properties and he wants to strengthen the security of all the properties.""
""Hollywood stars, are you worried about the safety of George and Amar twins?""
",
5,"""The royal wedding of Megan markel and Prince Harry: Here's when it all happened...""
""More information about the couple can be seen in the video below. When we count down to May 19, please pay attention to all the reports about the royal wedding by et.""
""We were really one person at that time, which was crucial for me to make sure we had a chance to get to know each other.""
""We were there for five days. It was great.""
""I think about three or four weeks later, I managed to persuade her to come camping with me in Botswana, and we camped together under the stars.""
""Why didn't Megan Marcel have a bridesmaid at his royal wedding to Prince Harry?"" ""We met again and again in London last July, back-to-back, two dates,"" Harry said
""When they announced their engagement last November, the couple first accepted a joint interview with BBC news. Harry revealed that he and Megan had camped together in Botswana at the beginning of their love affair and consolidated their relationship.""
""Harry and Megan have been together in Africa before.""
Travel and leisure magazine reported last month that the couple will live in Namibia's newest luxury camp, the naturally chosen honib Valley camp
“…… This is one of the least densely populated countries in the world, with enough privacy... ""
",
6,"""The website also points out that the tabloid is known for producing unreliable reports about Pitt and Julie.""
“… Rotate it to increase its readership... ""
""For some reason, NW magazine claims that Pete tried to prove in court that Julie cheated him when she was with a teacher.""
""However, the tabloid report has now been exposed as false and has been proved to be the product of fabrication by unreliable sources.""
""On Monday, gossip police denounced the magazine for publishing an unfounded report in its latest issue.""
According to the fact finding of celebrity report website, the tabloid fabricated the story, citing an unknown source, claiming that Pete planned to file court documents and summon a man named Anna kovarsky to prove the ""evil"" actress's infidelity in court
""Kowalski is a woman identified by star, another tabloid, and she can confirm that Julie was suspected of having an affair with a dialect coach in the 2009 spy film salt.""
""Kowalski was said to be a housekeeper at the Astoria Waldorf hotel in New York. She was said to have witnessed the secret love affair between the actress and the teacher.""
""Brad couldn't believe what Anna said,"" NW quoted a source as saying
""You can bet he'll let his lawyers use her, and anyway, they can get equal custody of his children."" However, the source's statement contradicts recent reports of the explosion, which said, ""Mr
",
7,"""It's impossible.""
“…… Leaders open the door to Syrian refugees... ""
""In an interview with Charlie Rose on CBS, the U2 leader said trump"" may be the worst idea the United States has ever had. ""
Bono said the United States is different from other countries because it is an ""idea"" and trump is ""trying to hijack""
""This idea is closely related to justice and equality for all.""
""I think he hijacked the party.""
""I think he's trying to hijack American ideas.""
""I think it's bigger than all of us.""
""I think it's really dangerous. In another interview with Attn, an online media company for young people, Bono recalled the politics of Irish Immigration to the United States calling for the country...""
He said that to shut people out just because they are refugees is ""a betrayal of the whole American philosophy.""
",
8,"""We have no doubt that rumors will continue to spread, but as one person on twitter wrote: not everything in the 1990s needs to be restarted.""
""- Pina (@ pinaoneair) on February 15, 2018b, Brad Pitt showed up at Jennifer Aniston's house, like pic.twitter.com/u4uGJ57NoO -Daniel (@ Daniel / u reilly1) February 15, 2018 twitter, how calm
""Now, you might think that sounds like a good idea - if you ignore the fact that the couple broke up publicly in 2005 and then divorced, and eventually Pete married Angelina Jolie, who seems to have had dozens of children.""
""You also have to ignore Aniston's paparazzi hit dating life, that's why she married Justin serrux, and that's what she announced on Thursday.""
""Reuters photographer / Reuters Brad Pitt and Jennifer Aniston, September 19, 2004 information photo.""
Aniston filed for divorce on March 25, 2005
""Now, after she broke up with Justin seru, people are cheering for Aniston Pitt's reunion.""
""Ignore all this, and that's for sure.""
""Jane and Brad reunion, 13 years, many children and many heartbroken, will be fans freak '- delicious.""
""But we don't live in that fantasy world.""
",
9,"""Because Hollywood stars often speculate rather than actually report, this repeatedly discredited media asserts that Berry has a bright smile on her face, hands on the obvious lump, and a bright smile on her face...""
""Similarly, the fake news producers of Hollywood life think that berry will be a mother for the third time. They also cut and pasted a sentence that wrongly alleges that the actress is holding a small lump on the carpet...""
""The British tabloids further claim that Berry has not publicly announced her pregnancy."" ""When she stood aside, the lump became more pronounced, and Harry didn't try to cover up her new curve,"" the misguided newspaper added
For example, the mirror wrote that the actress appeared ""on the red carpet, holding a 'small lump' with pride.""
""We were told it was' totally untrue '. According to a series of guesses and incorrect stories, Berry was pregnant with her third child and made her debut as a ""baby lump"" at the 16th pupa butterfly dance in Los Angeles
""The gossip police can completely correct this false news.""
""Despite many inaccurate reports, Halle Berry wasn't pregnant when she was 50.""
",
10,"""Brad, call us.""
""Maybe he's just a bachelor.""
""Obviously, it's not true either.""
""Brad has been in touch with Sienna Miller since breaking up with Angelina Jolie.""
""It could be a fantastic couple; MacPherson and Pete first met in 1999 on friends, when Brad gaster starred in a hit show for his then wife, Jennifer Aniston.""
Brad Pitt's agent said the report was ""untrue"" and that he had no date with MacPherson
""Brad Pitt and Jennifer Aniston meet again on screen for the first time after their divorce, and the media no longer pays attention to them.""
Brad Pitt and Jennifer Aniston meet again on screen for the first time after their divorce. My God
""My God, read it!""
""He laughed at every word she said and was very close,"" they added
",
11,"""Inside the picture: Sandra's boyfriend Brian took a picture in Hollywood on Sunday (December 6)
Sandra added: ""if a traditional family is full of love and pranks, no sleep, more children's social schedules than adults, and yelling at who touches who first Then I have a very traditional family. ""
Sandra was also asked if her family, including her five-year-old son, Louis, was traditional
According to reports, Sandra is currently on a date with photographer Bryan Randall (who actually shot the cover story for people magazine's uncover)
Asked if she could see her remarriage, the 51 year old Oscar winner replied: ""I don't think so, but I can see that I am in a loyal and safe relationship, where there is love and laughter, and it's not OK to make memories.""
After adopting her second child, a little girl named Lyra, Sandra Bullock disclosed her current views on marriage
",
12,"The tabloid claimed that rocnoll was upset that DiCaprio barely admitted him last year, and he did not want to sit another night and let his wife ""flatter"" DiCaprio
""After last year's Oscars, the star posted pictures of Winslet and DiCaprio hugging and kissing at the awards ceremony, and speculated that the two former stars might have triggered a romance.""
""The tabloid claimed that Winslet's husband, Ned rocnoll, was at odds with DiCaprio after seeing the interaction between DiCaprio and his wife at last year's wedding.""
""Star"" magazine reported that Kate Winslet to avoid ""Titanic"" star Leonardo DiCaprio away from the Oscar, but ""gossip news"" called it nonsense
",
13,"""In October 2013, fox denied dating the heroine of"" Batman Begins, ""which was on entertainment night in October 2013.""
""Katie Holmes and Jamie fox looked like a couple before the Grammy Awards,"" he commented at the time. ""It's amazing what people do to sell you.""
""In January 2018, w published photos showing Fox and Sherlock Holmes sitting at the same table at a Grammy weekend event.""
""Have we lost him? ""Asked Smith
""Fox didn't comment and took off his headphones before leaving.""
""Like true love and basketball? ""He joked
""Did you play basketball with Katie Holmes on Valentine's day?""
""In February 2018, in a live interview, Michael Smith of ESPN asked fox about playing basketball with Holmes on Valentine's day.""
According to W magazine, in June 2018, Holmes's representative denied a report that she and fox cancelled their wedding and broke up, adding that the article was ""100% untrue.""
""A representative of Holmes did not respond to Fox News's request for comment on the reports.""
",
14,"""It's a pity that some people, for their own selfish reasons, leaked part of the confidential and sealed court records in order to create an inaccurate and unfair truth.""
""Pete has to appoint one or two underage children to spend some time together.""
""A judge in the divorce case being heard by the couple said that the six children had no relationship with their father, which was harmful to them, and added that according to Each of them must have a healthy and strong relationship with their father and mother, ""he said
""Explosion...""
The judge also ordered the ""evil"" actress to provide her children with mobile phones so that Pitt could call them at any time without Julie's monitoring
""She's not allowed to read their text messages with her father, either.""
""The court has also made a summer schedule for each child, and with the exception of Maddox, who has grown up to decide how much time to spend with Pete,"" the document wrote
""Peter will have four hours of custody a day from June 8 to June 17, during which time he will stay in London and Julie will rent there.""
""In these 10 days, the star of ocean 13 has to get along with each child at least twice.""
""From the beginning, Angelina only focused on their health and needs, which is why the last trial had to be held in private.""
",
