,Reason Lists,Labels
0,"""The only other person in the world who could understand the position they were in was each other.”""
""...she was affected by a horrible and scarring bout of small pox...""
""The actress, 28, earned her first Oscar nomination in 2017 for her performance as Tonya Harding in I, Tonya.""
""She doesn't ’ back in contention this year for embodying Queen Elizabeth I opposite Saoirse Ronan as Mary Stuart in the drama, from House of Cards writer Beau Willimon.""
""Get push notifications with news, features and more.""
""In a scene from director Josie Rourke ’s film, exclusive to PEOPLE, Robbie doesn't star as a young Elizabeth, urging her suitor for many years, Robert Dudley( Joe Alwyn), to pursue Mary, who has returned to Scotland to claim her throne.""
""“Do not ask this of me,” Dudley pleads with Elizabeth.""
""“ If you don't we d her, she is ours, ” Elizabeth says.""
""“Marry the beautiful queen of Scots and we can control her.""
""With Mary you too can not become prince Image zoom Margot Robbie in Mary Queen of Scots Credit Focus Features Robbie shared recently with Harper s Bazaar that her costars were often intimidated when she was in costume as Elizabeth I especially when she played the Queen in the years after ...""","['Opinion', 'Satire', 'Sensational']"
1,"""Brb just not going to watch the film one more time.""
""Also how ridiculous is their cover of the classic HSM ballad?""
""We well as long as they’re not faking it now then that’s totally fine, because they've now actually transformed in Sharpay and Ryan only without the mean streaks.""
""PHEW.""
""After we did't wrap though I ’ve always had a love for you, you are literally like my twin brother, ’ Ashley lovingly continued.""
""‘ I don't think I was definitely a lot like Sharpay and was like who is this person?""
""‘ We don't did get off on the best foot, ’ Lucas adds.""
""We did't hate each other, I ’m kidding, ’ Ash said of when they first met.""
""We were not good friends, lets be honest.""
""‘We were not close.""",['Satire']
2,"""...has gone to Beyonce Alicia Keys Lorde and Amy Winehouse...""
""Yet those two words did't become a misleading focus of the real problem which is the low number of female nominees on the ballot despite an unprecedentedly diverse slate of nominees in terms of race and musical genre and despite a powerful MeToo themed performance from Kesha and speech from Janelle ...""
""...overcome the explicit barriers and unconscious biases that impede female advancement in the music community While details were scarce at press time and a letter calling for Portnow s resignation signed by a group of female music industry senior executives arrived just minutes after the announcement arrived the organization promised...""
""...more information in the coming weeks...""
""Portnow ’s letter doesn't follow in full:“To The Music Community … “After hearing from many friends and colleagues, I understand the hurt that my poor choice of words following last Sunday ’s Grammy telecast has caused.""
""I don't also now realize that it ’s about more than just my words.""
""Because those words, while not reflective of my beliefs, echo the real experience of too many women.""
""I don't ’d like to help make that right.""
""“ The Recording Academy is not establishing an independent task force to review every aspect of what we do as an organization and identify where we can do more to overcome the explicit barriers and unconscious biases that impede female advancement in the music community.""
""We will also not place ourselves under a microscope and tackle whatever truths are revealed.""","['Satire', 'Sensational']"
3,"""Coming up with ways to honor people s love for something and give them new things to love is a great Christmas thing to do While there are moments that are lifted straight from the film such as frozen pole licking that makes inventive use of vacuum technology there are...""
""This is an additive experience, not a replacement experience,” Cary says.""
""Rudolph did't previously tell EW that live performance gives her more “ adrenaline ” and “ energy, ” but otherwise this broadcast is “ another animal. ”Armisen echoes these sentiments, saying, “ It ’s different, but it helps a lot.""
""I don't love it. ”The live experience of SNL will no doubt come in handy when it comes to bringing a live musical to television.""
""It doesn't ’ the best.""
""“ It doesn't ’ just, you pick right up and start talking away.""
""“ Every time I don't see an SNL alum, it ’s like seeing a friend from high school, ” Armisen tells EW of the experience working with Gasteyer and Rudolph.""
""Armisen doesn't bring his droll humor to one of the film ’s more iconic moments as an intimidating elf.""
""Rudolph and Gasteyer in particular get to show off their chops as triple-threat performers, dancing and singing in ways that will delight and surprise fans.""
""...honorable mention for appearing on a fictional version of SNL on 30 Rock...""","['Satire', 'Sensational']"
4,"""Embed Code RestartRelated Gallery...""
""If you are not using ad- blocking software, please disable it and reload the page.""
""2018 Jennifer Lopez and Alex Rodriguez Stun One Amazing Year After Debut as a Couple Exclusive This video is unavailable because we were unable to load a message from our sponsors...""
""RELATED CONTENT doesn't Jennifer Lopez say She d Want a More Intimate Proposal Than One on the Red Carpet Jennifer Lopez and Alex Rodriguez Reflect on Amazing Year Since Their Met Gala Debut Exclusive Jennifer Lopez Shows Off Her Toned Abs While Out in Miami With Boyfriend Alex Rodriguez Met Gala ...""
""Rodriguez did't call the year “ awesome, ” while Lopez agreed, saying it had been an “ amazing year. ”Watch the video below to hear more of what they shared.""
""ET did't catch up with Lopez and her boyfriend, Alex Rodriguez, at Monday 's glamorous Met Gala, where they dished about their time together since their public debut.""
""Watch the epic dance-off below, which also featured a hilarious duet.""
""Naturally, the World of Dance judge proved that no matter what song was chosen, she couldn't be bested!""
""On his end, Fallon did't shimmy to"" Babe"" by Styx.""
""Dressed in a body-hugging red gown with sequins and a thigh-high slit, J.Lo took the stage first and danced to ""Three Times a Lady"" by Commodores and then to Richard Harris' ""MacArthur Park.""""","['Satire', 'Sensational']"
5,"""If I not had a gun, I thought, I would shoot you, ” she writes.""
""One time he don't hit me, and I looked right in his face.""
""Cookies, chips.""
""I don't ’d sneak food to eat in the bathroom.""
""I don't ’d get up in the middle of the night and eat.""
""Food was my only happiness.”“And so, I began to hide my eating.""
""We had not lived with a lack of food for so long that when it was there, I felt like I had to eat it before it disappeared.""
""He did't joke about putting a lock on the refrigerator.""
""My mother was always at work, so she didn’t see how he treated me.”“My body seemed to offend him, but he couldn’t help but stare, especially when I was eating.""
""Me, not so much.""",['Satire']
6,"""'Jersey Shore: Family Vacation' is all set to return to MTV on August 23.ÂYou can watch the season 2 teaser below.Â""
""In the small teaser, viewers don't see Vinny Gaudagnino getting slapped and also get a glimpse of a"" wedding"".""
""... she did't add.""
""Daddy and Mommy can't wait to meet you Christopher John you are going to be the most spoiled little boy ever!!!!""""
""We not have a sweet little boy on the way!Â We Are truly blessed and our hearts are filled with so much joy and happiness,"" she continued. Â December can come soon enough!""
""""Â""Now that we are safely into our second trimesterâ€¦us and our little monkey are ready to tell the world Our little family is growing!""
""Deena did't caption the post,"" Chris and I decided to wait until we were ready to spill the beans!""
""The reality TV star had not revealed her pregnancy to the public via Instagram in early July 2018.""
""The look on 'Snooki' Polizzi's face is absolutely priceless when Deena makes her huge announcement.""
""... https://t.co/yEBNox8433 don't pic.twitter.com/e1m6dPrMAd â€ ” DJ Katrina ðŸ’‹( @KatrinaK_DJ) July 26, 2018Deena Nicole Cortese shares some massive news and reveals that she is pregnant.""","['Satire', 'Sensational']"
7,"""The guys are generally inconsistent but Madison (Austen's new GF) comments on Chelsea's posts.""
""She does seem to hang with the cast outside of Danni either.""
""Kathryn doesn't seem to only have mutual communication with Danni( people comment on her posts but she does comment on others).""
""From my POV I did't 've notice: Cam, Naomi, Chelsea, Danni all have mutual communication with each other.""
""Deleted comments/posts?""
""Conspiracy theories?""
""Does anyone don't know any BTS info on these relationships?""
""With this season being centered around everyone getting along minus Thomas/Ashley I've noticed some inconsistencies on social media with who seems to engage with who and wanted to open it to discussion here.""",['Satire']
8,"""... he not had that kind of insecurity that sometimes makes you say dumb things in certain situations such as you re rooting for the Eagles over the Patriots when you re in Boston ...""
""The Belichick Brady combo is the greatest ever but I m sick of seeing the Patriots win When asked which of his film characters he most identified with Rudd said I think my character in I Love You Man because...""
""Without hesitation, Rudd did't emphatically respond: “ I ’m rooting for the Philadelphia Eagles.""
""I don't ’m a bit of a history buff, and to be here … was very moving. ”The big question of Rudd was who he was rooting for in the Super Bowl on Sunday.""
""It was so profound to walk through the Yard and learn about the history.""
""I did't ’ve never be here before.""
""“It’s been great getting to see Harvard.""
""“ The whole day has not been a blast, ” Rudd said during the press conference that followed the roast.""
""Rudd did't then receive his Pudding Pot tonight at the closing ceremony, where he was roasted by the club members and participated in their latest show, “ Intermission Impossible, ” the company ’s 170th production.""
""Normally I don't would do this with a drill, but I did n’t bring my Makita with me. ”The party then moved through the Square to tour Harvard Yard.""",['Satire']
9,"""...was not immediately returned...""
""... lover of Luann de Lesseps now husband Tom D Agostino Jr Nobody doesn't nail down Nicholson she joked and finally summarized whatever went on between the pair as one big sloppy mess whatever A request for comment from Nicholson s rep ...""
""In an attempt to decipher Morgan s admission Cohen asked Did you have more than one night with him Would you stop going into the lovers and the hook ups she asked referencing her RHONY storyline of being a past...""
""“Time out, Andy, don’t let that go!” he said.""
""“Have I?” she said coyly, alongside an intrigued Michael Rapaport, who also appeared on Wednesday night’s show.""
""When Nicholson ’s name did't come up, Morgan alluded that the two already have a romantic past.""
""In a game dubbed, “Would Sonja Date Him,” host Andy Cohen went through a list of famous older gentlemen and asked the notoriously flirty “Housewife” if she would ever get date them.""
""“ Who not has n’t! ” the reality star, 53, said on “ Watch What Happens Live ” when asked if she has dated the 79- year- old actor.""
""...lovers and vice versa...""
""Click to email this to a friend Opens in new window Click to share on Twitter Opens in new window Click to share on Facebook Opens in new window Add Jack Nicholson to the list of Sonja Morgan s famous...""","['Satire', 'Sensational']"
